service_id,route_id,trip_id,direction_id,trip_headsign,block_id
WK,RED,WK_103639,0,L. B. Nagar,WK_11301
WK,RED,WK_103640,1,Miyapur,WK_11301
WK,RED,WK_103641,0,L. B. Nagar,WK_10501
WK,RED,WK_103642,1,Miyapur,WK_10501
WK,RED,WK_103643,0,L. B. Nagar,WK_11401
WK,RED,WK_103644,1,Miyapur,WK_11401
WK,RED,WK_103645,0,L. B. Nagar,WK_10601
WK,RED,WK_103646,1,Miyapur,WK_10601
WK,RED,WK_103647,0,L. B. Nagar,WK_11501
WK,RED,WK_103648,1,Miyapur,WK_11501
WK,RED,WK_103649,0,L. B. Nagar,WK_11601
WK,RED,WK_103650,1,Miyapur,WK_11601
WK,RED,WK_103651,0,L. B. Nagar,WK_10701
WK,RED,WK_103652,1,Miyapur,WK_10701
WK,RED,WK_103653,0,L. B. Nagar,WK_11701
WK,RED,WK_103654,1,Miyapur,WK_11701
WK,RED,WK_103655,0,L. B. Nagar,WK_10801
WK,RED,WK_103656,1,Miyapur,WK_10801
WK,RED,WK_103657,0,L. B. Nagar,WK_11801
WK,RED,WK_103658,1,Miyapur,WK_11801
WK,RED,WK_103659,0,L. B. Nagar,WK_10901
WK,RED,WK_103660,1,Miyapur,WK_10901
WK,RED,WK_103661,0,L. B. Nagar,WK_11901
WK,RED,WK_103662,1,Miyapur,WK_11901
WK,RED,WK_103663,0,L. B. Nagar,WK_11001
WK,RED,WK_103665,0,L. B. Nagar,WK_12001
WK,RED,WK_103666,1,Miyapur,WK_12001
WK,RED,WK_103667,0,L. B. Nagar,WK_11101
WK,RED,WK_103668,1,Miyapur,WK_11101
WK,RED,WK_103669,0,L. B. Nagar,WK_12101
WK,RED,WK_103670,1,Miyapur,WK_12101
WK,RED,WK_103671,0,L. B. Nagar,WK_10101
WK,RED,WK_103672,1,Miyapur,WK_10101
WK,RED,WK_103673,0,L. B. Nagar,WK_11201
WK,RED,WK_103674,1,Miyapur,WK_11201
WK,RED,WK_103675,0,L. B. Nagar,WK_12201
WK,RED,WK_103676,1,Miyapur,WK_12201
WK,RED,WK_103677,0,L. B. Nagar,WK_10201
WK,RED,WK_103678,1,Miyapur,WK_10201
WK,RED,WK_103684,1,Miyapur,WK_10501
WK,RED,WK_106549,0,L. B. Nagar,WK_10801
WK,RED,WK_106897,1,Miyapur,WK_10201
